DEM数据文件,视点高度,时间消耗比
平原,41,0.321047448
平原,51,0.32714472
平原,61,0.355320247
平原,71,0.337344329
平原,81,0.335160403
平原,91,0.405159392
平原,101,0.414988974
平原,111,0.338443089
平原,121,0.351064784
平原,131,0.348366908
平原,141,0.440478659
平原,151,0.383844705
平原,161,0.437417225
平原,171,0.362897305
平原,181,0.411422531
平原,191,0.364042932
平原,201,0.393435001
平原,211,0.334062981
平原,221,0.409848628
平原,231,0.353828591
平原,241,0.334146144
平原,251,0.352619197
平原,261,0.345268352
平原,271,0.369705319
平原,281,0.355293037
平原,291,0.344289024
平原,301,0.39953947
平原,311,0.453038401
平原,321,0.38699208
平原,331,0.390058336
平原,341,0.341102024
平原,351,0.374435914
平原,361,0.36578991
平原,371,0.382315299
平原,381,0.346412442
平原,391,0.281197791
平原,401,0.386807239
平原,411,0.348122437
平原,421,0.395771597
平原,431,0.408415618
平原,441,0.368410642
平原,451,0.400325727
平原,461,0.366010187
平原,471,0.375904118
平原,481,0.328125752
平原,491,0.373065224
平原,501,0.383777795
平原,511,0.348602531
平原,521,0.385999548
平原,531,0.339201322
平原,541,0.363248886
平原,551,0.427848278
平原,561,0.447012004
平原,571,0.366037893
平原,581,0.392378986
平原,591,0.373494965
平原,601,0.365956846
平原,611,0.401889707
平原,621,0.379369124
平原,631,0.356202979
平原,641,0.341430109
平原,651,0.400307724
平原,661,0.385714931
平原,671,0.353356685
平原,681,0.321483416
平原,691,0.341689723
平原,701,0.36735366
平原,711,0.344288048
平原,721,0.373635969
平原,731,0.377582083
平原,741,0.386662154
平原,751,0.387261861
平原,761,0.405217469
平原,771,0.339650117
平原,781,0.393053722
平原,791,0.359065404
平原,801,0.371305722
平原,811,0.38312767
平原,821,0.408770866
平原,831,0.401233371
平原,841,0.404689494
平原,851,0.368803814
平原,861,0.333700991
平原,871,0.375251998
平原,881,0.403125452
平原,891,0.383613568
平原,901,0.326486416
平原,911,0.393474541
平原,921,0.317915919
平原,931,0.343913592
平原,941,0.346340704
平原,951,0.388098993
平原,961,0.388069006
平原,971,0.340574315
平原,981,0.379120954
平原,991,0.35809878
平原,1001,0.390738741
平原,1011,0.394875463
平原,1021,0.389249926
平原,1031,0.340412279
平原,1041,0.293707552
平原,1051,0.342617623
平原,1061,0.405231673
平原,1071,0.411908756
平原,1081,0.357912899
平原,1091,0.372961224
平原,1101,0.335828765
平原,1111,0.32522758
平原,1121,0.39431612
平原,1131,0.405541679
平原,1141,0.343310906
平原,1151,0.426287432
平原,1161,0.295284244
平原,1171,0.363908787
平原,1181,0.413539858
平原,1191,0.340246053
平原,1201,0.409236739
平原,1211,0.335081064
平原,1221,0.325319297
平原,1231,0.335021361
平原,1241,0.330621151
平原,1251,0.31082044
平原,1261,0.360628957
平原,1271,0.406092373
平原,1281,0.337895863
平原,1291,0.332810371
平原,1301,0.329685404
平原,1311,0.438064132
平原,1321,0.35567645
平原,1331,0.305176273
平原,1341,0.321850408
平原,1351,0.420848807
平原,1361,0.319632507
平原,1371,0.374322553
平原,1381,0.360428122
平原,1391,0.334780026
平原,1401,0.365469186
平原,1411,0.350979896
平原,1421,0.396639855
平原,1431,0.426949157
平原,1441,0.340121814
平原,1451,0.378867394
平原,1461,0.363060029
平原,1471,0.3467716
平原,1481,0.357858038
平原,1491,0.361006444
平原,1501,0.329834697
平原,1511,0.337893947
平原,1521,0.415953912
平原,1531,0.404055668
平原,1541,0.353543343
平原,1551,0.38778518
平原,1561,0.40978215
平原,1571,0.448319943
平原,1581,0.390754287
平原,1591,0.336924827
平原,1601,0.323416883
平原,1611,0.352881614
平原,1621,0.308550768
平原,1631,0.359938719
平原,1641,0.373015858
平原,1651,0.368589047
平原,1661,0.337245032
平原,1671,0.364820516
平原,1681,0.396919721
平原,1691,0.333173235
平原,1701,0.383991371
平原,1711,0.356828668
平原,1721,0.333921778
平原,1731,0.354780955
平原,1741,0.361274871
平原,1751,0.323815926
平原,1761,0.402025786
平原,1771,0.350149626
平原,1781,0.402826207
平原,1791,0.377068484
平原,1801,0.308749678
平原,1811,0.374485056
平原,1821,0.360839616
平原,1831,0.389672149
