DEM数据文件,经度,纬度,起始角度,终止角度,视点高度,SPDERL算法整体错误率
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8413687,34.46859719,291.1467396,314.6683765,300,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7399164,34.46322386,136.0530235,251.7512524,300,0.008185267
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.8412373,34.43167498,290.7889237,328.7434054,300,0.000449573
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.7243715,34.35502263,281.3414631,355.376449,300,0.029850746
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.5220258,34.31364977,24.83456031,208.4674415,300,0.004254573
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2314677,41.57514172,199.0518706,329.5301709,300,0.000363504
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6338659,41.62103936,355.3090912,359.6489272,300,0.027946537
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6209446,41.57349512,61.86822901,219.943582,300,0.023249247
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5312384,41.56825651,42.41928176,123.4763647,300,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.6511703,41.57083191,140.9418414,282.7003896,300,0.020584204
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.38492786,28.30757324,203.7977777,246.8945928,350,0.003686433
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.67278134,28.32404815,206.0935939,273.7990261,350,0.000452883
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.41874055,28.28954233,41.93406352,177.3625927,350,0.012884663
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.46495267,28.3280263,221.6653891,245.1542842,350,0.000127083
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.26543104,28.28081957,126.1933854,171.5292687,350,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.2850916,34.54845444,217.5156928,234.4111578,350,0.002072539
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4096901,34.52241467,4.570289724,180.448417,350,0.016594517
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.4313001,34.52975787,171.031576,222.3383425,350,0.000527066
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.6294483,34.5541886,159.0958017,245.0807142,350,0.002741435
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N34_00_E114_00_DEM.tif,114.554946,34.54542774,219.430482,332.2002067,350,0.007241606
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.3476469,41.65904515,166.8608221,183.9298885,350,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2641476,41.59367956,281.6838905,354.4145457,350,0.006515828
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2489054,41.53026009,317.8522985,319.0408067,350,0
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.5231257,41.62787111,151.7572882,275.2898355,350,0.003049943
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N41_00_E119_00_DEM.tif,119.2616934,41.6714543,200.8196578,342.8064702,350,0.003216627
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.64186556,28.73619994,81.90439567,220.8952252,400,0.016603116
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.35915778,28.71739856,156.6705477,273.5465244,400,0.002187652
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.58606866,28.7285531,227.4775615,350.2461193,400,0.014011209
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.65289146,28.73656668,194.5672281,305.3499334,400,0.006047069
F:\Rikola-Specpy\S_PDERL\data\Copernicus_DSM_COG_10_N28_00_E097_00_DEM.tif,97.36989233,28.67467484,0.666865253,111.2431457,400,0.026923901
